book,chapter,verse,text
"Exode",3,17,"Exode chapitre 3, verset 17."
"Exode",3,18,"Exode chapitre 3, verset 18."
"Exode",3,19,"Exode chapitre 3, verset 19."
"Exode",3,20,"Exode chapitre 3, verset 20."
"Exode",3,21,"Exode chapitre 3, verset 21."
"Exode",3,22,"Exode chapitre 3, verset 22."
"Exode",3,23,"Exode chapitre 3, verset 23."
"Exode",3,24,"Exode chapitre 3, verset 24."
"Exode",3,25,"Exode chapitre 3, verset 25."
"Exode",3,26,"Exode chapitre 3, verset 26."
"Exode",3,27,"Exode chapitre 3, verset 27."
"Exode",3,28,"Exode chapitre 3, verset 28."
"Exode",3,29,"Exode chapitre 3, verset 29."
"Exode",3,30,"Exode chapitre 3, verset 30."
"Exode",4,1,"Exode chapitre 4, verset 1."
"Exode",4,2,"Exode chapitre 4, verset 2."
"Exode",4,3,"Exode chapitre 4, verset 3."
"Exode",4,4,"Exode chapitre 4, verset 4."
"Exode",4,5,"Exode chapitre 4, verset 5."
"Exode",4,6,"Exode chapitre 4, verset 6."
"Exode",4,7,"Exode chapitre 4, verset 7."
"Exode",4,8,"Exode chapitre 4, verset 8."
"Exode",4,9,"Exode chapitre 4, verset 9."
"Exode",4,10,"Exode chapitre 4, verset 10."
"Exode",4,11,"Exode chapitre 4, verset 11."
"Exode",4,12,"Exode chapitre 4, verset 12."
"Exode",4,13,"Exode chapitre 4, verset 13."
"Exode",4,14,"Exode chapitre 4, verset 14."
"Exode",4,15,"Exode chapitre 4, verset 15."
"Exode",4,16,"Exode chapitre 4, verset 16."
"Exode",4,17,"Exode chapitre 4, verset 17."
"Exode",4,18,"Exode chapitre 4, verset 18."
"Exode",4,19,"Exode chapitre 4, verset 19."
"Exode",4,20,"Exode chapitre 4, verset 20."
"Exode",4,21,"Exode chapitre 4, verset 21."
"Exode",4,22,"Exode chapitre 4, verset 22."
"Exode",4,23,"Exode chapitre 4, verset 23."
"Exode",4,24,"Exode chapitre 4, verset 24."
"Exode",4,25,"Exode chapitre 4, verset 25."
"Exode",4,26,"Exode chapitre 4, verset 26."
"Exode",4,27,"Exode chapitre 4, verset 27."
"Exode",4,28,"Exode chapitre 4, verset 28."
"Exode",4,29,"Exode chapitre 4, verset 29."
"Exode",4,30,"Exode chapitre 4, verset 30."
"Exode",5,1,"Exode chapitre 5, verset 1."
"Exode",5,2,"Exode chapitre 5, verset 2."
"Exode",5,3,"Exode chapitre 5, verset 3."
"Exode",5,4,"Exode chapitre 5, verset 4."
"Exode",5,5,"Exode chapitre 5, verset 5."
"Exode",5,6,"Exode chapitre 5, verset 6."
"Exode",5,7,"Exode chapitre 5, verset 7."
"Exode",5,8,"Exode chapitre 5, verset 8."
"Exode",5,9,"Exode chapitre 5, verset 9."
"Exode",5,10,"Exode chapitre 5, verset 10."
"Exode",5,11,"Exode chapitre 5, verset 11."
"Exode",5,12,"Exode chapitre 5, verset 12."
"Exode",5,13,"Exode chapitre 5, verset 13."
"Exode",5,14,"Exode chapitre 5, verset 14."
"Exode",5,15,"Exode chapitre 5, verset 15."
"Exode",5,16,"Exode chapitre 5, verset 16."
"Exode",5,17,"Exode chapitre 5, verset 17."
"Exode",5,18,"Exode chapitre 5, verset 18."
"Exode",5,19,"Exode chapitre 5, verset 19."
"Exode",5,20,"Exode chapitre 5, verset 20."
"Exode",5,21,"Exode chapitre 5, verset 21."
"Exode",5,22,"Exode chapitre 5, verset 22."
"Exode",5,23,"Exode chapitre 5, verset 23."
"Exode",5,24,"Exode chapitre 5, verset 24."
"Exode",5,25,"Exode chapitre 5, verset 25."
"Exode",5,26,"Exode chapitre 5, verset 26."
"Exode",5,27,"Exode chapitre 5, verset 27."
"Exode",5,28,"Exode chapitre 5, verset 28."
"Exode",5,29,"Exode chapitre 5, verset 29."
"Exode",5,30,"Exode chapitre 5, verset 30."
"Exode",6,1,"Exode chapitre 6, verset 1."
"Exode",6,2,"Exode chapitre 6, verset 2."
"Exode",6,3,"Exode chapitre 6, verset 3."
"Exode",6,4,"Exode chapitre 6, verset 4."
"Exode",6,5,"Exode chapitre 6, verset 5."
"Exode",6,6,"Exode chapitre 6, verset 6."
"Exode",6,7,"Exode chapitre 6, verset 7."
"Exode",6,8,"Exode chapitre 6, verset 8."
"Exode",6,9,"Exode chapitre 6, verset 9."
"Exode",6,10,"Exode chapitre 6, verset 10."
"Exode",6,11,"Exode chapitre 6, verset 11."
"Exode",6,12,"Exode chapitre 6, verset 12."
"Exode",6,13,"Exode chapitre 6, verset 13."
"Exode",6,14,"Exode chapitre 6, verset 14."
"Exode",6,15,"Exode chapitre 6, verset 15."
"Exode",6,16,"Exode chapitre 6, verset 16."
"Exode",6,17,"Exode chapitre 6, verset 17."
"Exode",6,18,"Exode chapitre 6, verset 18."
"Exode",6,19,"Exode chapitre 6, verset 19."
"Exode",6,20,"Exode chapitre 6, verset 20."
"Exode",6,21,"Exode chapitre 6, verset 21."
"Exode",6,22,"Exode chapitre 6, verset 22."
"Exode",6,23,"Exode chapitre 6, verset 23."
"Exode",6,24,"Exode chapitre 6, verset 24."
"Exode",6,25,"Exode chapitre 6, verset 25."
"Exode",6,26,"Exode chapitre 6, verset 26."
"Exode",6,27,"Exode chapitre 6, verset 27."
"Exode",6,28,"Exode chapitre 6, verset 28."
"Exode",6,29,"Exode chapitre 6, verset 29."
"Exode",6,30,"Exode chapitre 6, verset 30."
"Exode",7,1,"Exode chapitre 7, verset 1."
"Exode",7,2,"Exode chapitre 7, verset 2."
"Exode",7,3,"Exode chapitre 7, verset 3."
"Exode",7,4,"Exode chapitre 7, verset 4."
"Exode",7,5,"Exode chapitre 7, verset 5."
"Exode",7,6,"Exode chapitre 7, verset 6."
"Exode",7,7,"Exode chapitre 7, verset 7."
"Exode",7,8,"Exode chapitre 7, verset 8."
"Exode",7,9,"Exode chapitre 7, verset 9."
"Exode",7,10,"Exode chapitre 7, verset 10."
"Exode",7,11,"Exode chapitre 7, verset 11."
"Exode",7,12,"Exode chapitre 7, verset 12."
"Exode",7,13,"Exode chapitre 7, verset 13."
"Exode",7,14,"Exode chapitre 7, verset 14."
"Exode",7,15,"Exode chapitre 7, verset 15."
"Exode",7,16,"Exode chapitre 7, verset 16."
"Exode",7,17,"Exode chapitre 7, verset 17."
"Exode",7,18,"Exode chapitre 7, verset 18."
"Exode",7,19,"Exode chapitre 7, verset 19."
"Exode",7,20,"Exode chapitre 7, verset 20."
"Exode",7,21,"Exode chapitre 7, verset 21."
"Exode",7,22,"Exode chapitre 7, verset 22."
"Exode",7,23,"Exode chapitre 7, verset 23."
"Exode",7,24,"Exode chapitre 7, verset 24."
"Exode",7,25,"Exode chapitre 7, verset 25."
"Exode",7,26,"Exode chapitre 7, verset 26."
"Exode",7,27,"Exode chapitre 7, verset 27."
"Exode",7,28,"Exode chapitre 7, verset 28."
"Exode",7,29,"Exode chapitre 7, verset 29."
"Exode",7,30,"Exode chapitre 7, verset 30."
"Exode",8,1,"Exode chapitre 8, verset 1."
"Exode",8,2,"Exode chapitre 8, verset 2."
"Exode",8,3,"Exode chapitre 8, verset 3."
"Exode",8,4,"Exode chapitre 8, verset 4."
"Exode",8,5,"Exode chapitre 8, verset 5."
"Exode",8,6,"Exode chapitre 8, verset 6."
"Exode",8,7,"Exode chapitre 8, verset 7."
"Exode",8,8,"Exode chapitre 8, verset 8."
"Exode",8,9,"Exode chapitre 8, verset 9."
"Exode",8,10,"Exode chapitre 8, verset 10."
"Exode",8,11,"Exode chapitre 8, verset 11."
"Exode",8,12,"Exode chapitre 8, verset 12."
"Exode",8,13,"Exode chapitre 8, verset 13."
"Exode",8,14,"Exode chapitre 8, verset 14."
"Exode",8,15,"Exode chapitre 8, verset 15."
"Exode",8,16,"Exode chapitre 8, verset 16."
"Exode",8,17,"Exode chapitre 8, verset 17."
"Exode",8,18,"Exode chapitre 8, verset 18."
"Exode",8,19,"Exode chapitre 8, verset 19."
"Exode",8,20,"Exode chapitre 8, verset 20."
"Exode",8,21,"Exode chapitre 8, verset 21."
"Exode",8,22,"Exode chapitre 8, verset 22."
"Exode",8,23,"Exode chapitre 8, verset 23."
"Exode",8,24,"Exode chapitre 8, verset 24."
"Exode",8,25,"Exode chapitre 8, verset 25."
"Exode",8,26,"Exode chapitre 8, verset 26."
"Exode",8,27,"Exode chapitre 8, verset 27."
"Exode",8,28,"Exode chapitre 8, verset 28."
"Exode",8,29,"Exode chapitre 8, verset 29."
"Exode",8,30,"Exode chapitre 8, verset 30."
"Exode",9,1,"Exode chapitre 9, verset 1."
"Exode",9,2,"Exode chapitre 9, verset 2."
"Exode",9,3,"Exode chapitre 9, verset 3."
"Exode",9,4,"Exode chapitre 9, verset 4."
"Exode",9,5,"Exode chapitre 9, verset 5."
"Exode",9,6,"Exode chapitre 9, verset 6."
"Exode",9,7,"Exode chapitre 9, verset 7."
"Exode",9,8,"Exode chapitre 9, verset 8."
"Exode",9,9,"Exode chapitre 9, verset 9."
"Exode",9,10,"Exode chapitre 9, verset 10."
"Exode",9,11,"Exode chapitre 9, verset 11."
"Exode",9,12,"Exode chapitre 9, verset 12."
"Exode",9,13,"Exode chapitre 9, verset 13."
"Exode",9,14,"Exode chapitre 9, verset 14."
"Exode",9,15,"Exode chapitre 9, verset 15."
"Exode",9,16,"Exode chapitre 9, verset 16."
"Exode",9,17,"Exode chapitre 9, verset 17."
"Exode",9,18,"Exode chapitre 9, verset 18."
"Exode",9,19,"Exode chapitre 9, verset 19."
"Exode",9,20,"Exode chapitre 9, verset 20."
"Exode",9,21,"Exode chapitre 9, verset 21."
"Exode",9,22,"Exode chapitre 9, verset 22."
"Exode",9,23,"Exode chapitre 9, verset 23."
"Exode",9,24,"Exode chapitre 9, verset 24."
"Exode",9,25,"Exode chapitre 9, verset 25."
"Exode",9,26,"Exode chapitre 9, verset 26."
"Exode",9,27,"Exode chapitre 9, verset 27."
"Exode",9,28,"Exode chapitre 9, verset 28."
"Exode",9,29,"Exode chapitre 9, verset 29."
"Exode",9,30,"Exode chapitre 9, verset 30."
"Exode",10,1,"Exode chapitre 10, verset 1."
"Exode",10,2,"Exode chapitre 10, verset 2."
"Exode",10,3,"Exode chapitre 10, verset 3."
"Exode",10,4,"Exode chapitre 10, verset 4."
"Exode",10,5,"Exode chapitre 10, verset 5."
"Exode",10,6,"Exode chapitre 10, verset 6."
"Exode",10,7,"Exode chapitre 10, verset 7."
"Exode",10,8,"Exode chapitre 10, verset 8."
"Exode",10,9,"Exode chapitre 10, verset 9."
"Exode",10,10,"Exode chapitre 10, verset 10."
"Exode",10,11,"Exode chapitre 10, verset 11."
"Exode",10,12,"Exode chapitre 10, verset 12."
"Exode",10,13,"Exode chapitre 10, verset 13."
"Exode",10,14,"Exode chapitre 10, verset 14."
"Exode",10,15,"Exode chapitre 10, verset 15."
"Exode",10,16,"Exode chapitre 10, verset 16."
"Exode",10,17,"Exode chapitre 10, verset 17."
"Exode",10,18,"Exode chapitre 10, verset 18."
"Exode",10,19,"Exode chapitre 10, verset 19."
"Exode",10,20,"Exode chapitre 10, verset 20."
"Exode",10,21,"Exode chapitre 10, verset 21."
"Exode",10,22,"Exode chapitre 10, verset 22."
"Exode",10,23,"Exode chapitre 10, verset 23."
"Exode",10,24,"Exode chapitre 10, verset 24."
"Exode",10,25,"Exode chapitre 10, verset 25."
"Exode",10,26,"Exode chapitre 10, verset 26."
"Exode",10,27,"Exode chapitre 10, verset 27."
"Exode",10,28,"Exode chapitre 10, verset 28."
"Exode",10,29,"Exode chapitre 10, verset 29."
"Exode",10,30,"Exode chapitre 10, verset 30."
"Exode",11,1,"Exode chapitre 11, verset 1."
"Exode",11,2,"Exode chapitre 11, verset 2."
"Exode",11,3,"Exode chapitre 11, verset 3."
"Exode",11,4,"Exode chapitre 11, verset 4."
"Exode",11,5,"Exode chapitre 11, verset 5."
"Exode",11,6,"Exode chapitre 11, verset 6."
"Exode",11,7,"Exode chapitre 11, verset 7."
"Exode",11,8,"Exode chapitre 11, verset 8."
"Exode",11,9,"Exode chapitre 11, verset 9."
"Exode",11,10,"Exode chapitre 11, verset 10."
"Exode",11,11,"Exode chapitre 11, verset 11."
"Exode",11,12,"Exode chapitre 11, verset 12."
"Exode",11,13,"Exode chapitre 11, verset 13."
"Exode",11,14,"Exode chapitre 11, verset 14."
"Exode",11,15,"Exode chapitre 11, verset 15."
"Exode",11,16,"Exode chapitre 11, verset 16."
"Exode",11,17,"Exode chapitre 11, verset 17."
"Exode",11,18,"Exode chapitre 11, verset 18."
"Exode",11,19,"Exode chapitre 11, verset 19."
"Exode",11,20,"Exode chapitre 11, verset 20."
"Exode",11,21,"Exode chapitre 11, verset 21."
"Exode",11,22,"Exode chapitre 11, verset 22."
"Exode",11,23,"Exode chapitre 11, verset 23."
"Exode",11,24,"Exode chapitre 11, verset 24."
"Exode",11,25,"Exode chapitre 11, verset 25."
"Exode",11,26,"Exode chapitre 11, verset 26."
"Exode",11,27,"Exode chapitre 11, verset 27."
"Exode",11,28,"Exode chapitre 11, verset 28."
"Exode",11,29,"Exode chapitre 11, verset 29."
"Exode",11,30,"Exode chapitre 11, verset 30."
"Exode",12,1,"Exode chapitre 12, verset 1."
"Exode",12,2,"Exode chapitre 12, verset 2."
"Exode",12,3,"Exode chapitre 12, verset 3."
"Exode",12,4,"Exode chapitre 12, verset 4."
"Exode",12,5,"Exode chapitre 12, verset 5."
"Exode",12,6,"Exode chapitre 12, verset 6."
"Exode",12,7,"Exode chapitre 12, verset 7."
"Exode",12,8,"Exode chapitre 12, verset 8."
"Exode",12,9,"Exode chapitre 12, verset 9."
"Exode",12,10,"Exode chapitre 12, verset 10."
"Exode",12,11,"Exode chapitre 12, verset 11."
"Exode",12,12,"Exode chapitre 12, verset 12."
"Exode",12,13,"Exode chapitre 12, verset 13."
"Exode",12,14,"Exode chapitre 12, verset 14."
"Exode",12,15,"Exode chapitre 12, verset 15."
"Exode",12,16,"Exode chapitre 12, verset 16."
"Exode",12,17,"Exode chapitre 12, verset 17."
"Exode",12,18,"Exode chapitre 12, verset 18."
"Exode",12,19,"Exode chapitre 12, verset 19."
"Exode",12,20,"Exode chapitre 12, verset 20."
"Exode",12,21,"Exode chapitre 12, verset 21."
"Exode",12,22,"Exode chapitre 12, verset 22."
"Exode",12,23,"Exode chapitre 12, verset 23."
"Exode",12,24,"Exode chapitre 12, verset 24."
"Exode",12,25,"Exode chapitre 12, verset 25."
"Exode",12,26,"Exode chapitre 12, verset 26."
"Exode",12,27,"Exode chapitre 12, verset 27."
"Exode",12,28,"Exode chapitre 12, verset 28."
"Exode",12,29,"Exode chapitre 12, verset 29."
"Exode",12,30,"Exode chapitre 12, verset 30."
"Exode",13,1,"Exode chapitre 13, verset 1."
"Exode",13,2,"Exode chapitre 13, verset 2."
"Exode",13,3,"Exode chapitre 13, verset 3."
"Exode",13,4,"Exode chapitre 13, verset 4."
"Exode",13,5,"Exode chapitre 13, verset 5."
"Exode",13,6,"Exode chapitre 13, verset 6."
"Exode",13,7,"Exode chapitre 13, verset 7."
"Exode",13,8,"Exode chapitre 13, verset 8."
"Exode",13,9,"Exode chapitre 13, verset 9."
"Exode",13,10,"Exode chapitre 13, verset 10."
"Exode",13,11,"Exode chapitre 13, verset 11."
"Exode",13,12,"Exode chapitre 13, verset 12."
"Exode",13,13,"Exode chapitre 13, verset 13."
"Exode",13,14,"Exode chapitre 13, verset 14."
"Exode",13,15,"Exode chapitre 13, verset 15."
"Exode",13,16,"Exode chapitre 13, verset 16."
"Exode",13,17,"Exode chapitre 13, verset 17."
"Exode",13,18,"Exode chapitre 13, verset 18."
"Exode",13,19,"Exode chapitre 13, verset 19."
"Exode",13,20,"Exode chapitre 13, verset 20."
"Exode",13,21,"Exode chapitre 13, verset 21."
"Exode",13,22,"Exode chapitre 13, verset 22."
"Exode",13,23,"Exode chapitre 13, verset 23."
"Exode",13,24,"Exode chapitre 13, verset 24."
"Exode",13,25,"Exode chapitre 13, verset 25."
"Exode",13,26,"Exode chapitre 13, verset 26."
"Exode",13,27,"Exode chapitre 13, verset 27."
"Exode",13,28,"Exode chapitre 13, verset 28."
"Exode",13,29,"Exode chapitre 13, verset 29."
"Exode",13,30,"Exode chapitre 13, verset 30."
"Exode",14,1,"Exode chapitre 14, verset 1."
"Exode",14,2,"Exode chapitre 14, verset 2."
"Exode",14,3,"Exode chapitre 14, verset 3."
"Exode",14,4,"Exode chapitre 14, verset 4."
"Exode",14,5,"Exode chapitre 14, verset 5."
"Exode",14,6,"Exode chapitre 14, verset 6."
"Exode",14,7,"Exode chapitre 14, verset 7."
"Exode",14,8,"Exode chapitre 14, verset 8."
"Exode",14,9,"Exode chapitre 14, verset 9."
"Exode",14,10,"Exode chapitre 14, verset 10."
"Exode",14,11,"Exode chapitre 14, verset 11."
"Exode",14,12,"Exode chapitre 14, verset 12."
"Exode",14,13,"Exode chapitre 14, verset 13."
"Exode",14,14,"Exode chapitre 14, verset 14."
"Exode",14,15,"Exode chapitre 14, verset 15."
"Exode",14,16,"Exode chapitre 14, verset 16."
"Exode",14,17,"Exode chapitre 14, verset 17."
"Exode",14,18,"Exode chapitre 14, verset 18."
"Exode",14,19,"Exode chapitre 14, verset 19."
"Exode",14,20,"Exode chapitre 14, verset 20."
"Exode",14,21,"Exode chapitre 14, verset 21."
"Exode",14,22,"Exode chapitre 14, verset 22."
"Exode",14,23,"Exode chapitre 14, verset 23."
"Exode",14,24,"Exode chapitre 14, verset 24."
"Exode",14,25,"Exode chapitre 14, verset 25."
"Exode",14,26,"Exode chapitre 14, verset 26."
"Exode",14,27,"Exode chapitre 14, verset 27."
"Exode",14,28,"Exode chapitre 14, verset 28."
"Exode",14,29,"Exode chapitre 14, verset 29."
"Exode",14,30,"Exode chapitre 14, verset 30."
"Exode",15,1,"Exode chapitre 15, verset 1."
"Exode",15,2,"Exode chapitre 15, verset 2."
"Exode",15,3,"Exode chapitre 15, verset 3."
"Exode",15,4,"Exode chapitre 15, verset 4."
"Exode",15,5,"Exode chapitre 15, verset 5."
"Exode",15,6,"Exode chapitre 15, verset 6."
"Exode",15,7,"Exode chapitre 15, verset 7."
"Exode",15,8,"Exode chapitre 15, verset 8."
"Exode",15,9,"Exode chapitre 15, verset 9."
"Exode",15,10,"Exode chapitre 15, verset 10."
"Exode",15,11,"Exode chapitre 15, verset 11."
"Exode",15,12,"Exode chapitre 15, verset 12."
"Exode",15,13,"Exode chapitre 15, verset 13."
"Exode",15,14,"Exode chapitre 15, verset 14."
"Exode",15,15,"Exode chapitre 15, verset 15."
"Exode",15,16,"Exode chapitre 15, verset 16."
"Exode",15,17,"Exode chapitre 15, verset 17."
"Exode",15,18,"Exode chapitre 15, verset 18."
"Exode",15,19,"Exode chapitre 15, verset 19."
"Exode",15,20,"Exode chapitre 15, verset 20."
"Exode",15,21,"Exode chapitre 15, verset 21."
"Exode",15,22,"Exode chapitre 15, verset 22."
"Exode",15,23,"Exode chapitre 15, verset 23."
"Exode",15,24,"Exode chapitre 15, verset 24."
"Exode",15,25,"Exode chapitre 15, verset 25."
"Exode",15,26,"Exode chapitre 15, verset 26."
"Exode",15,27,"Exode chapitre 15, verset 27."
"Exode",15,28,"Exode chapitre 15, verset 28."
"Exode",15,29,"Exode chapitre 15, verset 29."
"Exode",15,30,"Exode chapitre 15, verset 30."
"Exode",16,1,"Exode chapitre 16, verset 1."
"Exode",16,2,"Exode chapitre 16, verset 2."
"Exode",16,3,"Exode chapitre 16, verset 3."
"Exode",16,4,"Exode chapitre 16, verset 4."
"Exode",16,5,"Exode chapitre 16, verset 5."
"Exode",16,6,"Exode chapitre 16, verset 6."
"Exode",16,7,"Exode chapitre 16, verset 7."
"Exode",16,8,"Exode chapitre 16, verset 8."
"Exode",16,9,"Exode chapitre 16, verset 9."
"Exode",16,10,"Exode chapitre 16, verset 10."
"Exode",16,11,"Exode chapitre 16, verset 11."
"Exode",16,12,"Exode chapitre 16, verset 12."
"Exode",16,13,"Exode chapitre 16, verset 13."
"Exode",16,14,"Exode chapitre 16, verset 14."
"Exode",16,15,"Exode chapitre 16, verset 15."
"Exode",16,16,"Exode chapitre 16, verset 16."
"Exode",16,17,"Exode chapitre 16, verset 17."
"Exode",16,18,"Exode chapitre 16, verset 18."
"Exode",16,19,"Exode chapitre 16, verset 19."
"Exode",16,20,"Exode chapitre 16, verset 20."
"Exode",16,21,"Exode chapitre 16, verset 21."
"Exode",16,22,"Exode chapitre 16, verset 22."
"Exode",16,23,"Exode chapitre 16, verset 23."
"Exode",16,24,"Exode chapitre 16, verset 24."
"Exode",16,25,"Exode chapitre 16, verset 25."
"Exode",16,26,"Exode chapitre 16, verset 26."
"Exode",16,27,"Exode chapitre 16, verset 27."
"Exode",16,28,"Exode chapitre 16, verset 28."
"Exode",16,29,"Exode chapitre 16, verset 29."
"Exode",16,30,"Exode chapitre 16, verset 30."
"Exode",17,1,"Exode chapitre 17, verset 1."
"Exode",17,2,"Exode chapitre 17, verset 2."
"Exode",17,3,"Exode chapitre 17, verset 3."
"Exode",17,4,"Exode chapitre 17, verset 4."
"Exode",17,5,"Exode chapitre 17, verset 5."
"Exode",17,6,"Exode chapitre 17, verset 6."
"Exode",17,7,"Exode chapitre 17, verset 7."
"Exode",17,8,"Exode chapitre 17, verset 8."
"Exode",17,9,"Exode chapitre 17, verset 9."
"Exode",17,10,"Exode chapitre 17, verset 10."
"Exode",17,11,"Exode chapitre 17, verset 11."
"Exode",17,12,"Exode chapitre 17, verset 12."
"Exode",17,13,"Exode chapitre 17, verset 13."
"Exode",17,14,"Exode chapitre 17, verset 14."
"Exode",17,15,"Exode chapitre 17, verset 15."
"Exode",17,16,"Exode chapitre 17, verset 16."
"Exode",17,17,"Exode chapitre 17, verset 17."
"Exode",17,18,"Exode chapitre 17, verset 18."
"Exode",17,19,"Exode chapitre 17, verset 19."
"Exode",17,20,"Exode chapitre 17, verset 20."
"Exode",17,21,"Exode chapitre 17, verset 21."
"Exode",17,22,"Exode chapitre 17, verset 22."
"Exode",17,23,"Exode chapitre 17, verset 23."
"Exode",17,24,"Exode chapitre 17, verset 24."
"Exode",17,25,"Exode chapitre 17, verset 25."
"Exode",17,26,"Exode chapitre 17, verset 26."
"Exode",17,27,"Exode chapitre 17, verset 27."
"Exode",17,28,"Exode chapitre 17, verset 28."
"Exode",17,29,"Exode chapitre 17, verset 29."
"Exode",17,30,"Exode chapitre 17, verset 30."
"Exode",18,1,"Exode chapitre 18, verset 1."
"Exode",18,2,"Exode chapitre 18, verset 2."
"Exode",18,3,"Exode chapitre 18, verset 3."
"Exode",18,4,"Exode chapitre 18, verset 4."
"Exode",18,5,"Exode chapitre 18, verset 5."
"Exode",18,6,"Exode chapitre 18, verset 6."
"Exode",18,7,"Exode chapitre 18, verset 7."
"Exode",18,8,"Exode chapitre 18, verset 8."
"Exode",18,9,"Exode chapitre 18, verset 9."
"Exode",18,10,"Exode chapitre 18, verset 10."
"Exode",18,11,"Exode chapitre 18, verset 11."
"Exode",18,12,"Exode chapitre 18, verset 12."
"Exode",18,13,"Exode chapitre 18, verset 13."
"Exode",18,14,"Exode chapitre 18, verset 14."
"Exode",18,15,"Exode chapitre 18, verset 15."
"Exode",18,16,"Exode chapitre 18, verset 16."
"Exode",18,17,"Exode chapitre 18, verset 17."
